file,package,pair_style,has_noalias,has_fxtmp,has_dbl3_t
src/AMOEBA/pair_amoeba.cpp,AMOEBA,amoeba,yes,no,yes
src/APIP/pair_eam_apip.cpp,APIP,eam/apip,yes,no,yes
src/APIP/pair_lambda_input_csp_apip.cpp,APIP,lambda/input/csp/apip,yes,no,yes
src/ASPHERE/pair_gayberne.cpp,ASPHERE,gayberne,yes,yes,yes
src/ASPHERE/pair_line_lj.cpp,ASPHERE,line/lj,yes,no,yes
src/ASPHERE/pair_resquared.cpp,ASPHERE,resquared,yes,yes,yes
src/ASPHERE/pair_tri_lj.cpp,ASPHERE,tri/lj,yes,no,yes
src/ASPHERE/pair_ylz.cpp,ASPHERE,ylz,yes,yes,yes
src/BODY/pair_body_nparticle.cpp,BODY,body/nparticle,yes,no,yes
src/BPM/pair_bpm_spring.cpp,BPM,bpm/spring,yes,yes,yes
src/CG-DNA/pair_oxdna2_coaxstk.cpp,CG-DNA,oxdna2/coaxstk,yes,no,yes
src/CG-DNA/pair_oxdna2_dh.cpp,CG-DNA,oxdna2/dh,yes,no,yes
src/CG-DNA/pair_oxdna3_xstk.cpp,CG-DNA,oxdna3/xstk,yes,no,yes
src/CG-DNA/pair_oxdna_coaxstk.cpp,CG-DNA,oxdna/coaxstk,yes,no,yes
src/CG-DNA/pair_oxdna_excv.cpp,CG-DNA,oxdna/excv,yes,no,yes
src/CG-DNA/pair_oxdna_hbond.cpp,CG-DNA,oxdna/hbond,yes,no,yes
src/CG-DNA/pair_oxdna_stk.cpp,CG-DNA,oxdna/stk,yes,no,yes
src/CG-DNA/pair_oxdna_xstk.cpp,CG-DNA,oxdna/xstk,yes,no,yes
src/CG-DNA/pair_oxrna2_stk.cpp,CG-DNA,oxrna2/stk,yes,no,yes
src/CG-DNA/pair_oxrna2_xstk.cpp,CG-DNA,oxrna2/xstk,yes,no,yes
src/CLASS2/pair_lj_class2.cpp,CLASS2,lj/class2,yes,yes,yes
src/CLASS2/pair_lj_class2_coul_cut.cpp,CLASS2,lj/class2/coul/cut,yes,yes,yes
src/CLASS2/pair_lj_class2_coul_long.cpp,CLASS2,lj/class2/coul/long,yes,yes,yes
src/COLLOID/pair_brownian.cpp,COLLOID,brownian,yes,yes,yes
src/COLLOID/pair_brownian_poly.cpp,COLLOID,brownian/poly,yes,yes,yes
src/COLLOID/pair_colloid.cpp,COLLOID,colloid,yes,yes,yes
src/COLLOID/pair_yukawa_colloid.cpp,COLLOID,yukawa/colloid,yes,yes,yes
src/CORESHELL/pair_born_coul_dsf_cs.cpp,CORESHELL,born/coul/dsf/cs,yes,yes,yes
src/CORESHELL/pair_born_coul_long_cs.cpp,CORESHELL,born/coul/long/cs,yes,yes,yes
src/CORESHELL/pair_born_coul_wolf_cs.cpp,CORESHELL,born/coul/wolf/cs,yes,yes,yes
