"Timestamp","Label","LammpsVersion","LammpsCommit","NAtoms","NSteps","NProcs","ThreadsArg","OmpThreads","Repeats","LoopTimeMean","LoopTimeStd","WallTimeMean","WallTimeStd","PairPctMean","BondPctMean","AnglePctMean","DihedralPctMean","ImproperPctMean","KspacePctMean","NeighPctMean","CommPctMean","OutputPctMean","ModifyPctMean","OtherPctMean","Note"
"20260611-160858","baseline-serial","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","0","1","5","0.2886878","0.0409817610980787","0.3599531","0.0772157120695652","80.45",,,,,,"15.706","1.814","0.032","1.576","0.422","core-only MSVC Release build, no MPI/OMP packages"
"20260614-205214","omp-1t","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","1","1","5","0.2960416","0.0705608975481463","0.50485348","0.259653172070345","78.034",,,,,,"17.648","2.15","0.032","2.038","0.1","PKG_OPENMP=ON, -sf omp, 1 thread (vs baseline-serial)"
"20260614-205235","omp-4t","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","4","4","4","5","0.0822959","0.0215721466293923","0.1253629","0.0316844050603763","67.922",,,,,,"15.012","8.766","0.114","8.004","0.182","PKG_OPENMP=ON, -sf omp, 4 threads (vs baseline-serial)"
"20260614-205301","omp-8t","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","8","8","8","5","0.06897702","0.019013559297696","0.11474556","0.0296705493860158","58.024",,,,,,"13.966","11.398","0.128","16.314","0.174","PKG_OPENMP=ON, -sf omp, 8 threads (vs baseline-serial)"
"20260614-205726","baseline-serial","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","0","1","5","0.2889736","0.0217843206756603","0.35300736","0.0426037962260759","80.664",,,,,,"15.668","1.71","0.028","1.502","0.426","reproducibility recheck of original baseline"
"20260614-210549","serial-avx2","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","0","1","5","0.2647952","0.0300364029004806","0.40494148","0.246157304949085","79.922",,,,,,"16.454","1.732","0.028","1.442","0.422","core-only, CMAKE_CXX_FLAGS=/arch:AVX2, vs baseline-serial"
"20260614-211536","serial-fastmath","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","0","1","5","0.280073","0.0472437997730919","0.41554272","0.224341769015484","80.154",,,,,,"16.144","1.76","0.026","1.492","0.422","core-only, CMAKE_CXX_FLAGS=/fp:fast, vs baseline-serial"
"20260614-212233","serial-lto","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","1","0","1","5","0.2993868","0.046392914143218","0.44587144","0.237074924236185","80.214",,,,,,"16.054","1.764","0.028","1.514","0.424","core-only, CMAKE_INTERPROCEDURAL_OPTIMIZATION=ON (/GL+LTCG), vs baseline-serial"
"20260614-212827","omp-avx2-4t","30 Mar 2026 - Development - 91d4111","91d4111","4000","250","4","4","4","5","0.08333838","0.0108381474813272","0.15329108","0.0330204524789864","68.18",,,,,,"14.234","7.714","0.126","9.564","0.184","PKG_OPENMP=ON + /arch:AVX2, -sf omp -pk omp 4, vs omp-4t (0.0822959s) and serial-avx2 (0.2648s)"
"20260618-000810","port84-before","30 Mar 2026 - Development - 91d4111","91d4111","6912","300","1","0","1","6","1.768185","0.0179495011072731","1.82727736666667","0.0177212774887892","96.4883333333333",,,,,,"2.165","0.51","0.01","0.526666666666667","0.305",""
"20260618-000932","port84-after","30 Mar 2026 - Development - 91d4111-modified","91d4111","6912","300","1","0","1","6","1.64266833333333","0.0319743456018519","1.71268343333333","0.0625173503847905","96.1",,,,,,"2.345","0.601666666666667","0.01","0.608333333333333","0.336666666666667",""
"20260618-002559","port85-before","30 Mar 2026 - Development - 91d4111a9-modified","91d4111a9","6912","300","1","0","1","6","22.2495666666667","1.05804910787102","22.4545370833333","1.05738829158636","99.735",,,,,,"0","0.14","0","0.0716666666666667","0.0516666666666667",""
"20260618-002909","port85-after","30 Mar 2026 - Development - 91d4111a9-modified","91d4111a9","6912","300","1","0","1","6","20.97115","0.538490073260409","21.1529322833333","0.532954663074564","99.7183333333333",,,,,,"0","0.151666666666667","0","0.0716666666666667","0.0566666666666667",""
"20260618-004024","port86-before","30 Mar 2026 - Development - 91d4111a9-modified","91d4111a9","6912","300","1","0","1","6","15.3110166666667","0.347241215391645","15.4315408","0.349345884946711","99.79",,,,,,"0","0.06","0","0.09","0.06",""
"20260618-004322","port86-after","30 Mar 2026 - Development - 91d4111a9-modified","91d4111a9","6912","300","1","0","1","6","15.8077","1.95443394158002","15.97483465","1.93112979984149","99.7583333333333",,,,,,"0","0.0833333333333333","0","0.1","0.06",""
"20260618-112814","serial-baseline","30 Mar 2026 - Development - 91d4111","91d4111a9","4000","250","1","0","1","5","0.2767696","0.0487063328048828","0.39024854","0.191375916091506","80.642",,,,,,"15.778","1.696","0.028","1.434","0.422",""
